Abbreviation/Shorthand,Meaning
N-MIA,N-methylimidazole acetaldehyde
N-MIAA,N-methylimidazole acetic acid
N-Myc,basic helix-loop-helix protein 37
N/V,nausea or vomiting
N0,Regional lymph node stage - There is no cancer in nearby lymph nodes
N1,Cancer in lymph node - Stage 1
N2,Cancer in lymph node - Stage 2
N3,Cancer in lymph node - Stage 3
Na,sodium
NAb,neutralising antibody
NABS,normal active bowel sounds
NAC,N-acetylcysteine
NAC,neoadjuvant chemotherapy
NAD,no active disease
NAD,no acute distress
NAD,nicotinamide adenine dinucleotide
NAFL,non‐alcoholic fatty liver
NAFLD,non‐alcoholic fatty liver disease
NAK,numb-associated kinase
nAMD,neovascular age-related macular degeneration
NAP1L2,nucleosome assembly protein 1 like 2
NAS,NAFLD Activity Score
NASAH,non-aneurysmal subarachnoid hemorrhage
NASH,nonalcoholic steatohepatitis
NASPGHAN,"North American Society For Pediatric Gastroenterology, Hepatology & Nutrition"
NASS,North American Spine Society
NAT,non-accidental trauma
NAT,nucleic acid testing
NB,neuroblastoma
NBCCS,nevoid basal cell carcinoma syndrome
NBNB,"non-bloody, non-bilious"
NBS,no bowel sounds
NBUVB,narrowband ultraviolet B
NC,nasal cannula
NCCAH,non-classical congenital adrenal hyperplasia
NCCN,National Comprehensive Cancer Network
NCCT,noncontrast computed tomography
NCD,National Coverage Determination
NCI,National Cancer Institute
nCoV,Novel Coronavirus
NCP,nursing care plan
nCPAP,Nasal Continuous Positive Airway Pressure
NCS,nerve conduction study
NCT,national clinical trial
NCV,Nerve Conduction Velocity
ND,non-distended
ND,nasoduodenal
ndGBM,newly diagnosed glioblastoma multiforme
NDI,neck disability index
NDR,national determination for reimbursement
NEB,nebulizer
NEBU,Nebulization Solution
NED,no evidence of disease
NES,neuromuscular electrical stimulation
NF,neural foraminal 
NF,Nissen fundoplication
NF-κB,nuclear factor kappa B
NF1,neurofibromatosis type 1
ng,nanogram
NG,nasogastric
NGS,next-generation sequencing
NGT,nasogastric tube
NHEJ,non-homologous end joining
NHL,non-Hodgkin's lymphoma
NHLBI,"National Heart, Lung, and Blood Institute"
NHLOC,nursing home level of care
NIAAA,National Institute on Alcohol Abuse and Alcoholism
NICM,nonischemic cardiomyopathy
NICU,neonatal intensive care unit
NICVD,National Institute of Cardiovascular Diseases
NIDCM,non-ischemic dilated cardiomyopathy
NIDDM,non-insulin dependent diabetes mellitus
NIH,National Institutes of Health
NIHSS,National Institutes of Health stroke scale
NIOV,noninvasive open ventilation
NIPS,noninvasive prenatal screening
NIPT,noninvasive prenatal testing
NIV,non-invasive ventilation
NJ,nasojejunal
NK,natural killer
NK,neurotrophic keratitis
NKA,no known allergies
NKDA,no known drug allergies
NKX2-1,NK2 homeobox 1
nl,normal
nL,nanoliter
NLA,National Lipid Association
NLI,neurological level of injury
NLM,National Library of Medicine
NLPHL,nodular lymphocyte predominant Hodgkin lymphoma
NLRP12,"Nucleotide-Binding Oligomerization Domain, Leucine Rich Repeat And Pyrin Domain Containing 12"
NLUTD,neurogenic lower urinary tract dysfunction
NM,nuclear medicine
NM,nonsense mutation
NMA,network meta-analysis
NMCL,non-mucinous cystic lesion
nmCRPC,non-metastatic castration-resistant prostate cancer
NMD,nonsense-mediated decay
NMD,neurosurgery for mental disorder
NMDA,N-methyl-D-aspartate
NMES,neuromuscular electrical stimulation
NMH,N-methylhistamine
NMIBC,non-muscle invasive bladder cancer
NMN,nicotinamide mononucleotide
NMO,Neuromyelitis Optica
NMOSD,neuromyelitis optica spectrum disorder
NMPK,non-microprocessor-controlled prosthetic knee
NMR,nuclear magnetic resonance
NMSC,non-melanoma skin cancer
NMV,net magnetization vector
NNIS,National Nosocomial Infection Surveillance System
NNT,numbers needed to treat
NOAC,non-vitamin K oral anticoagulant
nocte,at night
NOM,nonoperative management
NORSE,new-onset refractory status epilepticus
NOS,not otherwise specified
NOTCH1,Neurogenic Locus Notch Homolog Protein 1
NP,nucleus pulpous
npAIR,non-paraneoplastic autoimmune retinopathy
NPC,nasopharyngeal carcinoma
NPH,neutral protamine Hagedorn
NPH,Normal Pressure Hydrocephalus
NPMD,neuropsychomotor development
NPN,non-protein nitrogen
NPO,nothing by mouth (nils per os)
